vessel_id,vessel_name,vessel_type,vessel_age,gross_tonnage,engine_type,flag_state,operator_company,last_inspection_date,compliance_status,policy_id,previous_premium,past_claims_count,total_claim_amount,claim_reason,last_claim_date,policy_coverage,timestamp,latitude,longitude,speed_knots,course_degrees,destination,port_of_departure,next_port,region,piracy_risk,war_zone_risk,historical_piracy_incidents,historical_collision_incidents,marine_traffic_density,weather_condition,wave_height_m,wind_speed_knots,sea_temperature_C,storm_risk_score,crew_experience_avg_years,safety_incidents_last_5yrs,maintenance_frequency,emergency_response_time,insurance_premium_pred,risk_category
VSL-1010,Bulgaria,Passenger,31,131464.22,Hybrid,Norway,COSCO,19-04-2003,False,POL-5010,282944.09,10,337422.24,Collision,17-10-2009,1102337.85,01-03-2017,12.5,112.5,27.74,81,Port_34,Port_48,Port_26,South China Sea,0.5,0.6,15.0,21,41,Snowy,5.29,71.97,1.85,3.5,10.85,9,8.43,18.1,318948.19,Medium
VSL-1011,Estonia,Bulk Carrier,39,231060.55,Diesel,Japan,ExxonMobil,21-02-2011,True,POL-5011,407156.67,0,531956.26,Fire,17-05-2018,903091.73,09-11-2005,-1.272703,124.584304,16.02,175,Port_7,Port_24,Port_9,Pacific,0.14,0.36,19.0,6,3,Clear,8.29,66.66,-1.56,9.94,33.82,11,3.3,12.06,483219.56,Low
VSL-1012,Estonia,Passenger,22,77475.02,Gas Turbine,Italy,MSC,27-04-2013,True,POL-5012,320824.39,9,308126.48,Structural Failure,24-01-2015,1327891.74,01-02-2012,80.462216,-161.992886,21.07,304,Port_39,Port_9,Port_14,Pacific,0.73,0.74,0.0,5,46,Stormy,5.47,88.66,25.77,3.9,31.07,2,10.09,14.04,397750.41,Medium
VSL-1013,Empress of Ireland,Ferry,45,156933.27,Diesel,Germany,White Star Line,18-10-2007,True,POL-5013,376886.02,19,829066.94,Piracy,13-06-2000,1613133.36,30-08-2005,37.5,15.0,10.43,244,Port_43,Port_32,Port_32,Mediterranean,0.15,0.2,5.0,8,82,Foggy,4.33,30.12,1.56,4.0,10.59,9,4.99,32.68,340032.58,Medium
VSL-1014,Deepwater Horizon,Bulk Carrier,17,176600.19,Gas Turbine,China,White Star Line,11-04-2008,True,POL-5014,411357.73,7,635874.86,Explosion,17-12-2004,1396583.57,09-06-2004,37.5,15.0,7.97,54,Port_8,Port_5,Port_6,Gulf of Mexico,0.2,0.3,0.0,1,83,Snowy,9.15,22.07,4.82,9.0,10.12,7,7.65,44.05,517415.3,Medium
VSL-1015,Costa Concordia,LNG Carrier,6,81483.75,Steam,Norway,ExxonMobil,04-12-2000,True,POL-5015,784918.57,12,966714.95,Structural Failure,08-05-2014,1902916.19,13-07-2006,12.5,112.5,23.1,357,Port_17,Port_12,Port_26,Mediterranean,0.15,0.1,0.0,18,72,Foggy,10.56,81.34,9.7,4.0,6.86,16,1.88,1.31,929608.35,Medium
VSL-1016,Empress of Ireland,LNG Carrier,44,239021.35,Hybrid,Germany,Evergreen,08-11-2012,False,POL-5016,525556.84,17,1014492.61,Explosion,03-10-2014,1910426.35,22-04-2007,12.5,112.5,9.21,38,Port_49,Port_46,Port_35,South China Sea,0.5,0.6,15.0,6,26,Clear,11.87,54.04,28.66,3.5,19.84,9,8.9,46.64,625179.32,Medium
VSL-1017,Estonia,Cruise,5,109273.51,Diesel,Germany,White Star Line,13-03-2000,True,POL-5017,613364.19,1,922006.87,Grounding,19-01-2008,1613535.45,01-01-2005,12.5,112.5,4.47,134,Port_37,Port_27,Port_35,South China Sea,0.5,0.6,15.0,46,23,Clear,3.27,32.57,12.57,3.5,12.38,4,4.53,22.17,714272.45,High
VSL-1018,Empress of Ireland,Bulk Carrier,24,212152.2,Steam,Germany,Carnival,15-05-2006,False,POL-5018,189756.31,1,241470.23,Grounding,24-07-2013,787176.99,18-03-2008,39.564133,-141.407689,21.87,224,Port_7,Port_12,Port_17,Arctic,0.29,0.57,14.0,24,83,Stormy,7.92,7.24,-0.58,3.2,31.35,13,7.97,52.4,251311.93,Low
VSL-1019,Exxon Valdez,LNG Carrier,11,137712.66,Hybrid,South Korea,MSC,02-01-2005,True,POL-5019,428409.17,7,436365.89,Fire,02-12-2018,1187616.68,14-01-2008,37.5,15.0,16.49,90,Port_36,Port_22,Port_45,Pacific,0.1,0.1,0.0,11,24,Stormy,5.2,65.19,22.81,7.0,32.03,20,11.51,20.38,552757.34,Medium
VSL-1020,Prestige,Passenger,9,19279.05,Diesel,USA,MSC,11-05-2005,False,POL-5020,509357.99,10,375457.68,Hull Breach,19-08-2005,2486317.65,13-08-2018,42.0,-9.0,28.0,71,Port_8,Port_34,Port_12,Atlantic,0.1,0.1,0.0,48,5,Rainy,10.28,43.96,20.57,7.5,34.06,18,4.47,20.25,569417.43,High
VSL-1021,Prestige,LNG Carrier,39,184250.1,Hybrid,Germany,BP,28-10-2006,True,POL-5021,472871.79,10,808218.87,Structural Failure,12-03-2000,1304537.32,13-04-2002,12.5,112.5,24.17,274,Port_42,Port_8,Port_30,Atlantic,0.1,0.1,0.0,26,89,Hurricane,6.91,71.11,-0.7,7.5,1.41,9,9.82,18.84,655212.99,Medium
VSL-1022,Deepwater Horizon,Oil Tanker,14,240928.59,Steam,South Korea,MSC,29-04-2009,True,POL-5022,406166.85,10,680803.91,Storm Damage,24-03-2011,1560604.41,12-11-2017,5.0,70.0,28.95,318,Port_11,Port_26,Port_50,Gulf of Mexico,0.2,0.3,0.0,18,98,Clear,6.6,75.66,4.24,9.0,4.21,17,6.03,31.44,352624.65,Medium
VSL-1023,Herald of Free Enterprise,LNG Carrier,48,182937.35,Steam,China,MOL,12-09-2010,True,POL-5023,749534.17,10,714776.69,Sinking,01-12-2008,1958103.93,04-11-2005,9.621823,-108.235009,13.72,163,Port_33,Port_48,Port_42,Arctic,0.98,0.86,34.0,49,16,Foggy,12.47,61.66,18.17,3.935,13.26,12,6.54,47.89,1104139.86,High
VSL-1024,Exxon Valdez,Oil Tanker,18,217453.94,Gas Turbine,China,Evergreen,10-06-2003,False,POL-5024,370883.71,13,923952.05,Hull Breach,10-08-2018,1752213.75,30-12-2011,60.9,-146.9,9.97,145,Port_35,Port_47,Port_33,Pacific,0.1,0.1,0.0,31,56,Stormy,11.23,46.48,21.63,7.0,36.33,10,9.91,13.21,507618.48,Medium
VSL-1025,Estonia,Fishing,33,182878.19,Gas Turbine,Norway,COSCO,31-01-2009,True,POL-5025,599873.0,18,505958.72,Fire,21-02-2004,1385645.77,04-01-2018,37.5,15.0,6.76,50,Port_26,Port_34,Port_35,Mediterranean,0.15,0.2,5.0,12,3,Clear,9.08,4.25,14.08,4.0,37.64,0,8.61,32.75,763272.22,Medium
VSL-1026,Herald of Free Enterprise,Passenger,22,97058.3,Steam,UK,COSCO,07-02-2006,False,POL-5026,465527.02,13,728389.86,Collision,30-05-2014,1952928.77,14-04-2015,12.5,112.5,9.81,236,Port_50,Port_42,Port_36,South China Sea,0.5,0.6,15.0,1,45,Clear,1.18,93.7,16.47,3.5,30.52,0,3.08,2.13,397654.05,Medium
VSL-1027,Prestige,Oil Tanker,21,87563.2,Gas Turbine,China,Evergreen,25-01-2003,False,POL-5027,798273.02,7,1728166.56,Explosion,15-04-2003,2946125.52,16-06-2013,42.0,-9.0,19.18,93,Port_47,Port_27,Port_33,Atlantic,0.1,0.1,0.0,44,76,Rainy,3.78,12.97,6.65,7.5,38.18,7,4.3,44.12,910797.19,Medium
VSL-1028,Costa Concordia,Cruise,45,29296.06,Gas Turbine,Panama,COSCO,30-10-2011,True,POL-5028,181947.33,7,211236.57,Structural Failure,25-08-2000,467803.79,01-08-2000,12.5,112.5,11.12,201,Port_29,Port_2,Port_6,Mediterranean,0.15,0.1,0.0,40,95,Rainy,1.77,63.72,6.57,4.0,18.03,4,4.7,46.15,224056.24,Low
VSL-1029,Exxon Valdez,Bulk Carrier,28,240993.03,Steam,UK,ExxonMobil,03-05-2007,False,POL-5029,719852.92,18,1498853.42,Storm Damage,27-11-2016,1825435.81,29-01-2019,60.9,-146.9,27.56,342,Port_20,Port_35,Port_35,Pacific,0.1,0.1,0.0,41,60,Clear,14.14,28.32,11.95,7.0,35.45,7,11.1,29.01,644167.25,Low
VSL-1030,Empress of Ireland,LNG Carrier,28,28035.59,Diesel,Germany,White Star Line,08-06-2013,True,POL-5030,333440.99,11,552903.41,Explosion,08-02-2003,971898.45,22-11-2000,24.478103,94.26845,16.07,107,Port_10,Port_6,Port_42,Atlantic,0.1,0.1,3.0,24,29,Hurricane,8.11,6.73,19.56,8.5,2.79,5,8.45,5.17,358286.93,High
VSL-1031,Exxon Valdez,Fishing,7,242812.78,Diesel,Panama,MOL,15-10-2001,False,POL-5031,582677.47,9,1153288.42,Piracy,22-02-2003,2220835.38,18-09-2006,12.5,112.5,7.69,337,Port_16,Port_3,Port_9,Pacific,0.1,0.1,0.0,33,50,Foggy,12.55,83.15,5.02,7.0,28.09,18,7.48,16.16,544424.84,Medium
VSL-1032,Prestige,Passenger,13,139629.6,Gas Turbine,UK,MOL,09-09-2010,False,POL-5032,299549.82,3,342646.07,Explosion,03-02-2006,1111013.64,29-04-2012,42.0,-9.0,1.66,9,Port_38,Port_38,Port_1,Atlantic,0.1,0.1,0.0,8,60,Hurricane,3.96,74.25,26.67,7.5,3.73,12,11.15,53.04,426432.58,Low
VSL-1033,Costa Concordia,Bulk Carrier,32,28644.68,Steam,UK,Carnival,16-03-2011,False,POL-5033,361971.36,11,412795.78,Hull Breach,09-01-2011,1366246.43,21-12-2002,42.3,10.9,4.98,219,Port_10,Port_1,Port_36,Mediterranean,0.15,0.1,0.0,17,92,Stormy,13.53,50.77,3.98,4.0,38.77,11,8.76,56.77,493319.93,Low
VSL-1034,Prestige,Cruise,37,238935.76,Hybrid,Japan,COSCO,07-03-2008,True,POL-5034,794045.78,17,1302697.37,Explosion,24-10-2000,2194231.02,12-09-2017,42.0,-9.0,27.07,85,Port_45,Port_34,Port_47,Atlantic,0.1,0.1,0.0,33,75,Rainy,5.92,30.2,11.22,7.5,1.18,4,9.29,14.97,902331.5,Medium
VSL-1035,Sewol,Cruise,37,30789.45,Diesel,Italy,ExxonMobil,20-04-2000,False,POL-5035,349167.43,11,346339.24,Sinking,06-03-2016,1351628.25,28-01-2009,5.0,70.0,0.55,66,Port_35,Port_2,Port_33,Yellow Sea,0.1,0.2,0.0,18,29,Rainy,5.21,61.2,5.69,5.0,11.04,10,4.05,51.23,295043.31,High
VSL-1036,Sewol,Ferry,47,52079.37,Steam,South Korea,Evergreen,10-02-2011,True,POL-5036,199836.74,7,327158.58,Hull Breach,16-03-2005,823253.49,26-07-2009,5.0,70.0,0.99,139,Port_15,Port_19,Port_50,Yellow Sea,0.1,0.2,0.0,0,72,Snowy,14.32,35.98,26.71,5.0,5.46,15,4.19,8.75,198686.83,High
VSL-1037,Bulgaria,Fishing,22,86863.04,Steam,UK,MOL,18-07-2012,False,POL-5037,614812.54,18,633584.8,Sinking,14-08-2009,2449781.75,14-03-2007,12.5,112.5,24.75,49,Port_35,Port_34,Port_45,South China Sea,0.5,0.6,15.0,17,65,Stormy,2.54,22.98,13.88,3.5,33.37,3,6.91,50.68,787535.68,Low
VSL-1038,Estonia,LNG Carrier,28,220865.69,Diesel,Italy,Maersk,05-08-2010,True,POL-5038,755239.34,18,1432743.38,Sinking,11-04-2003,3028566.24,11-04-2001,5.0,70.0,15.51,193,Port_47,Port_30,Port_14,Indian Ocean,0.7,0.4,25.0,44,58,Stormy,9.5,30.35,20.06,8.0,5.24,11,10.24,26.97,979680.83,High
VSL-1039,Costa Concordia,Ferry,43,145834.51,Gas Turbine,China,Maersk,25-10-2009,True,POL-5039,517592.04,6,668402.35,Storm Damage,11-05-2010,2206608.62,10-08-2007,5.0,70.0,22.64,68,Port_26,Port_7,Port_9,Mediterranean,0.15,0.1,0.0,4,81,Clear,9.75,58.92,2.6,4.0,27.03,2,11.96,50.7,419962.09,High
VSL-1040,Sewol,Oil Tanker,7,47300.69,Hybrid,Russia,White Star Line,07-09-2013,False,POL-5040,653570.93,8,1320509.12,Hull Breach,13-04-2004,3036380.22,15-05-2001,34.0,125.0,15.1,239,Port_23,Port_25,Port_15,Yellow Sea,0.1,0.2,0.0,47,32,Hurricane,9.04,19.15,21.69,5.0,4.64,18,7.4,56.32,630769.55,High
VSL-1041,Estonia,Oil Tanker,47,60137.6,Steam,Panama,COSCO,26-06-2004,True,POL-5041,173233.44,6,344193.77,Collision,25-12-2004,751019.71,27-03-2001,1.908414,38.242483,3.64,167,Port_34,Port_23,Port_46,Atlantic,0.1,0.1,3.0,23,19,Stormy,6.89,72.34,0.17,8.5,30.73,0,7.24,27.88,254136.63,Low
VSL-1042,Deepwater Horizon,LNG Carrier,17,19719.2,Steam,Japan,MSC,24-04-2000,False,POL-5042,588987.46,4,977202.95,Hull Breach,15-01-2004,2838748.21,28-06-2007,37.5,15.0,10.73,55,Port_44,Port_12,Port_25,Gulf of Mexico,0.2,0.3,0.0,30,100,Foggy,3.78,19.87,11.88,9.0,30.86,8,6.76,26.39,483080.7,High
VSL-1043,Titanic,Fishing,16,65091.83,Steam,UK,Carnival,08-01-2002,True,POL-5043,230876.42,16,176730.22,Explosion,21-05-2012,498144.03,11-08-2006,41.7,-49.9,3.06,355,Port_7,Port_45,Port_45,Atlantic,0.05,0.1,0.0,18,93,Rainy,12.62,7.52,18.03,8.5,18.97,9,7.98,41.2,245648.35,Low
VSL-1044,Costa Concordia,LNG Carrier,31,213880.49,Steam,South Korea,White Star Line,19-09-2004,True,POL-5044,167389.45,18,375243.79,Collision,23-12-2009,582761.12,05-12-2004,42.3,10.9,14.71,360,Port_34,Port_32,Port_41,Mediterranean,0.15,0.1,0.0,22,8,Rainy,14.86,8.66,27.3,4.0,15.98,4,8.21,52.28,213939.0,Low
VSL-1045,Bulgaria,Oil Tanker,35,132013.93,Gas Turbine,South Korea,COSCO,13-05-2011,False,POL-5045,285343.37,17,260373.19,Grounding,11-03-2000,1307025.8,14-12-2012,83.070843,74.777149,22.27,101,Port_38,Port_36,Port_24,Arctic,0.66,0.17,16.0,0,36,Foggy,13.62,22.27,17.03,6.43,4.4,3,3.19,37.12,292980.3,High
VSL-1046,Herald of Free Enterprise,Oil Tanker,41,55526.48,Gas Turbine,Norway,COSCO,09-10-2008,True,POL-5046,673078.36,10,1492856.26,Collision,11-06-2013,2304441.73,24-06-2014,12.5,112.5,26.45,350,Port_35,Port_11,Port_46,South China Sea,0.5,0.6,15.0,47,29,Snowy,3.4,72.16,17.83,3.5,32.94,3,10.45,5.21,934130.0,High
VSL-1047,Herald of Free Enterprise,Oil Tanker,29,208455.59,Steam,Norway,MOL,03-06-2001,True,POL-5047,727367.12,5,1715447.36,Sinking,03-06-2006,2996625.2,13-02-2001,12.5,112.5,12.87,251,Port_10,Port_43,Port_50,South China Sea,0.5,0.6,15.0,38,10,Stormy,1.3,8.13,28.56,3.5,33.58,16,4.41,20.1,637994.22,High
VSL-1048,Herald of Free Enterprise,Cruise,33,30003.59,Diesel,Panama,BP,20-05-2006,True,POL-5048,296977.82,0,246660.13,Hull Breach,31-05-2005,1383371.73,23-06-2017,37.5,15.0,1.35,26,Port_44,Port_41,Port_48,Mediterranean,0.15,0.2,5.0,0,19,Hurricane,11.46,39.0,10.92,4.0,13.45,19,11.56,29.61,394915.5,Medium
VSL-1049,Costa Concordia,Passenger,17,32210.38,Steam,Russia,Evergreen,11-10-2012,True,POL-5049,643819.63,8,1242894.15,Structural Failure,25-05-2011,2603513.88,07-10-2002,12.5,112.5,0.71,263,Port_47,Port_24,Port_4,Mediterranean,0.15,0.1,0.0,11,41,Rainy,8.75,27.84,10.94,4.0,4.02,19,6.96,42.08,893094.38,Medium
VSL-1050,Empress of Ireland,Fishing,31,98759.09,Diesel,Germany,MSC,26-10-2004,False,POL-5050,115948.47,3,120643.2,Piracy,14-11-2015,243598.73,24-06-2009,-64.501719,88.532893,15.31,139,Port_47,Port_13,Port_34,Atlantic,0.1,0.1,3.0,2,93,Foggy,0.85,98.78,4.55,8.5,3.12,12,8.4,30.52,106003.25,High
VSL-1051,Exxon Valdez,Ferry,30,119421.63,Gas Turbine,China,Evergreen,28-07-2009,False,POL-5051,141545.8,6,124211.48,Fire,22-07-2004,704000.09,25-05-2001,60.9,-146.9,7.95,204,Port_21,Port_34,Port_34,Pacific,0.1,0.1,0.0,0,36,Clear,1.58,36.33,9.96,7.0,6.06,15,4.27,16.1,211916.52,Low
VSL-1052,Exxon Valdez,Fishing,28,32040.34,Steam,UK,Evergreen,20-05-2003,False,POL-5052,713416.22,18,1576560.4,Piracy,14-10-2015,1980672.57,04-12-2002,5.0,70.0,15.46,106,Port_5,Port_30,Port_19,Pacific,0.1,0.1,0.0,5,41,Stormy,9.35,99.7,15.6,7.0,13.87,18,11.46,48.89,970274.18,Low
VSL-1053,Prestige,Ferry,45,70887.3,Gas Turbine,Italy,ExxonMobil,06-11-2001,True,POL-5053,453256.45,9,985977.47,Storm Damage,27-08-2008,1073847.82,17-10-2001,42.0,-9.0,10.38,81,Port_23,Port_5,Port_10,Atlantic,0.1,0.1,0.0,43,97,Rainy,11.63,70.53,6.18,7.5,9.47,5,9.51,16.53,579718.78,High
VSL-1054,Prestige,Oil Tanker,22,222687.83,Diesel,Italy,MSC,08-05-2002,False,POL-5054,369577.49,17,401026.2,Hull Breach,17-04-2013,1334085.76,03-11-2011,5.0,70.0,29.33,261,Port_26,Port_5,Port_48,Atlantic,0.1,0.1,0.0,17,37,Hurricane,8.86,70.07,22.67,7.5,28.03,13,9.66,24.09,536415.13,Medium
VSL-1055,Empress of Ireland,Fishing,13,88456.76,Gas Turbine,Russia,Evergreen,03-04-2012,False,POL-5055,567153.0,14,1298326.32,Structural Failure,19-04-2002,1894558.01,01-10-2005,-18.295673,126.042365,22.1,37,Port_19,Port_41,Port_7,Arctic,0.18,0.23,31.0,45,55,Hurricane,14.46,2.27,2.88,7.83,9.34,3,4.99,38.39,662829.44,Medium
VSL-1056,Deepwater Horizon,Cargo,47,155477.23,Diesel,USA,BP,29-06-2008,True,POL-5056,526100.07,7,1201644.7,Explosion,10-07-2006,2054782.01,11-05-2000,5.0,70.0,10.96,355,Port_6,Port_49,Port_34,Gulf of Mexico,0.2,0.3,0.0,48,51,Stormy,4.85,13.91,14.75,9.0,34.49,8,5.14,54.49,569890.93,High
VSL-1057,Titanic,Fishing,30,97823.7,Hybrid,South Korea,MOL,26-11-2010,False,POL-5057,622699.32,10,925954.41,Sinking,22-06-2003,2447974.28,23-02-2005,41.7,-49.9,24.34,311,Port_19,Port_40,Port_7,Atlantic,0.05,0.1,0.0,26,54,Snowy,10.51,93.35,26.17,8.5,12.43,2,8.47,40.79,712033.62,High
VSL-1058,Bulgaria,Ferry,33,165402.7,Diesel,UK,BP,01-08-2007,True,POL-5058,555405.7,3,738764.68,Structural Failure,16-05-2004,1814093.23,28-05-2015,12.5,112.5,15.93,276,Port_40,Port_5,Port_38,South China Sea,0.5,0.6,15.0,45,62,Rainy,11.44,61.71,10.44,3.5,25.18,20,8.99,8.59,807041.6,Medium
VSL-1059,Prestige,Passenger,16,67755.45,Steam,South Korea,Evergreen,16-05-2003,False,POL-5059,400219.05,0,515206.28,Sinking,27-11-2018,1824402.18,06-02-2000,12.5,112.5,17.96,249,Port_42,Port_23,Port_26,Atlantic,0.1,0.1,0.0,49,56,Stormy,13.13,79.34,0.68,7.5,37.89,2,2.68,56.65,465821.11,High
VSL-1060,Exxon Valdez,Cruise,29,210221.64,Hybrid,UK,White Star Line,06-07-2005,True,POL-5060,722597.65,9,665812.52,Structural Failure,27-09-2013,2828985.31,06-08-2016,5.0,70.0,17.44,141,Port_10,Port_41,Port_15,Pacific,0.1,0.1,0.0,0,29,Hurricane,12.67,51.87,12.54,7.0,2.15,5,8.04,44.68,958489.7,Medium
VSL-1061,Deepwater Horizon,Fishing,30,144825.06,Diesel,South Korea,MSC,13-04-2013,False,POL-5061,350845.56,2,193007.78,Piracy,01-04-2002,989057.42,17-10-2016,28.7,-88.4,10.04,322,Port_37,Port_47,Port_20,Gulf of Mexico,0.2,0.3,0.0,26,29,Foggy,5.28,58.8,1.91,9.0,34.58,20,10.06,17.83,326188.41,Medium
VSL-1062,Titanic,Ferry,44,190615.79,Hybrid,USA,MOL,18-11-2001,True,POL-5062,523969.22,0,839085.83,Structural Failure,28-02-2008,2009859.14,22-08-2006,41.7,-49.9,12.19,313,Port_47,Port_12,Port_22,Atlantic,0.05,0.1,0.0,45,79,Rainy,11.87,37.39,-1.78,8.5,9.79,9,10.45,5.9,515158.26,High
VSL-1063,Empress of Ireland,Cruise,29,117529.76,Steam,South Korea,ExxonMobil,01-10-2002,True,POL-5063,174248.29,10,185188.4,Collision,03-09-2014,610883.66,23-10-2016,37.5,15.0,4.4,123,Port_50,Port_35,Port_22,Mediterranean,0.15,0.2,5.0,31,57,Hurricane,11.07,71.08,4.27,4.0,3.14,20,8.31,14.12,215183.85,Low
VSL-1064,Bulgaria,Cruise,40,218760.48,Gas Turbine,Italy,BP,20-04-2005,True,POL-5064,405243.16,20,321571.55,Hull Breach,22-12-2016,902537.77,09-09-2018,12.5,112.5,0.17,183,Port_9,Port_46,Port_22,South China Sea,0.5,0.6,15.0,14,12,Stormy,7.13,50.93,10.69,3.5,20.13,20,7.25,57.77,540501.61,High
VSL-1065,Sewol,Fishing,7,195091.57,Diesel,Russia,Evergreen,13-01-2010,False,POL-5065,625008.88,12,1179192.72,Storm Damage,28-09-2014,2444119.82,15-11-2016,34.0,125.0,21.17,152,Port_31,Port_14,Port_47,Yellow Sea,0.1,0.2,0.0,0,34,Hurricane,0.66,73.32,27.19,5.0,15.07,2,5.35,43.56,920455.79,Low
VSL-1066,Estonia,Oil Tanker,17,67984.07,Steam,Japan,MOL,25-01-2012,True,POL-5066,624130.48,7,1083478.98,Hull Breach,12-10-2011,2942818.72,20-11-2001,-4.348105,154.857381,27.26,263,Port_11,Port_10,Port_36,Atlantic,0.1,0.1,3.0,34,97,Hurricane,7.54,12.68,16.38,8.5,34.62,16,5.0,43.82,824943.78,Low
VSL-1067,Herald of Free Enterprise,Fishing,12,42885.8,Gas Turbine,UK,MSC,28-10-2004,True,POL-5067,383601.27,17,268508.21,Piracy,02-08-2006,1116560.49,30-07-2013,37.5,15.0,9.05,93,Port_32,Port_17,Port_27,Mediterranean,0.15,0.2,5.0,30,1,Rainy,1.4,18.35,1.11,4.0,38.8,17,6.57,2.93,454879.26,Medium
VSL-1068,Estonia,Fishing,32,125671.93,Steam,Panama,Maersk,07-01-2011,True,POL-5068,283144.25,0,601788.38,Structural Failure,04-01-2010,1017323.09,15-04-2003,5.0,70.0,7.63,38,Port_44,Port_48,Port_22,Indian Ocean,0.7,0.4,25.0,0,27,Foggy,13.63,56.83,5.3,8.0,21.57,5,6.0,24.94,237694.32,Low
VSL-1069,Costa Concordia,Cargo,50,204554.15,Hybrid,South Korea,Carnival,11-10-2003,True,POL-5069,454130.37,9,457865.38,Fire,25-06-2001,1451755.27,07-07-2017,42.3,10.9,23.49,142,Port_44,Port_3,Port_28,Mediterranean,0.15,0.1,0.0,38,31,Foggy,1.18,64.8,18.6,4.0,13.79,2,4.84,14.77,515820.07,Medium
